name,description,img,cost,target
Above the circle of the moon,"This unique tale crosses the genres of Historical Fiction, Fantasy, and Horror, with the latter most prevalent. If you love a good gas lamp story filled with darkness and gore, then Above the Circle of the Moon will be a page-turning, riveting read from beginning to end. Personally, I wasn't prepared for quite the amount of horror this tale puts forth, but that being said, the plot was well-delivered; it set my spine tingling with that sensation that makes you turn around repeatedly even though you know nothing is there, creating a unique fable from the more traditional lycanthropy.""",https://m.media-amazon.com/images/I/51tcFt8z6hL.jpg,12,100
Gunmetal Gods,"A page-turning war between men and gods in a fully realized world that is engrossing and spectacular, this is a must-read. The book is full of well realized characters, a deep culture that is well thought out, incredible creatures and amazing beings that turn the tide of the story and everything else you would want in a fantasy tale. This book easily stands with the best of epic fantasy fiction.⠀If you love sweeping epics like the Game of Thrones series or Throne of the Crescent Moon, drop whatever else you are reading and pick up this book. It's as bold as the title and it delivers on all fronts. Remember Zamil Akhtar's name because if he keeps writing like this, he will be the next well known epic fantasy author to have a global fanbase.""",https://m.media-amazon.com/images/I/51ARF1Ai8EL.jpg,5,100
How much of these hills is gold,"An electric debut novel set against the twilight of the American gold rush, two siblings are on the run in an unforgiving landscape—trying not just to survive but to find a home.""","https://images-na.ssl-images-amazon.com/images/I/51E1y-GYtaL._SX329_BO1,204,203,200_.jpg",8,100
Valkyrie,"What do you do when you realise that the things you've learnt have all been a lie? How do you deal with a world that's no longer your own?⠀If science fiction is about pushing new boundaries and exploring new worlds, Ludwa takes that to heart. One doesn’t need to go far in her Odin Prime to enter a new space and the boundaries are only as much as our characters place on themselves.⠀If you like your soap opera full of politics and philosophical questions that don’t bog down the narrative, then this is the book for you. If anything, Valkyrie is a taste of what can be done with a few ideas well done""",https://m.media-amazon.com/images/I/41Twkz8XS8L.jpg,10,100
When Colour Became Grey,"A satisfying blend of drama, fantasy and romance makes for an engaging read!⠀
⠀⠀⠀⠀
When Colour Became Grey has a little bit of mystery, romance and fantasy added to the mix. If you enjoy watching characters grow and develop this is the book for you. Ameerah goes through many different stages of her new life, and there is plenty to come with the next installment!",https://m.media-amazon.com/images/I/41jmEymbSqL.jpg,16,100
Wrap me in Trees,"An honest and vivid read. Wrap Me in Trees is worth reading and I wasn't disappointed!⠀
⠀⠀⠀⠀
T Kenny explores different challenges that Grace and her family face. From cultural uncertainties to familial tension and heartache, Wrap Me in Trees paints an honest picture of immigrant life. Kenny has a natural writing style. She evokes laughter as well as sorrow and seamlessly moves between different characters. ","https://images-na.ssl-images-amazon.com/images/I/41LDlFLDBqL._SX322_BO1,204,203,200_.jpg",20,100
The death of Vivek,"If you're looking for a non-linear and very unconventional murder mystery, family portrait, and found family narrative all in one, I highly recommend this gorgeously written novel!","https://images-na.ssl-images-amazon.com/images/I/41fntNpKTKL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",12,100
The Burial,"It started with a promise, a promise from a wife to her husband as he departed for war, a promise to ensure his body was given the Prophet’s Rites should he perish. Two years later, Eira receives the news that she had hoped to never get, the news that her husband, and the rest of the town’s men who marched away, were slain in an ambush, their bodies left where they lay, given to the vultures without ceremony.

Leaving her children and farm behind, Eira sets out, venturing from her hometown for the first time in her life. With the help of a drunken priest, a boisterous bard, and dreams that may or may not be real, she navigates her way through foreign lands and into the heart of the war, where amidst the dangers, her husband’s body awaits.","https://images-na.ssl-images-amazon.com/images/I/41of2dI+yGL._SY344_BO1,204,203,200_.jpg",5,100
Ora and the Old God,"A fast-paced, fantastical series opener with a brave heroine and complex antagonists.⠀
⠀⠀⠀⠀
This story is an easy and fast paced read that I couldn't put down. Ora's determination and strength as a character, as well as her devotion to her brother, were powerful, especially set against a world that saw her as nothing but a servant. The world is complex—perhaps a little too complex at times, as I never felt like everything was properly explained to me—and grabs you. The bit of politics and religion we got to see were really interesting, and I hope they'll be explored more in the future.","https://images-na.ssl-images-amazon.com/images/I/41F1-AXHWmL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",8,100
The Assassin's Gift,"This author knows how to bring out your emotions with compelling characters and realistic, heartfelt emotions covering the whole range!⠀
⠀⠀⠀⠀
Although categorized as an adult fantasy, I believe that anyone who enjoys young adult or new adult fantasy would enjoy this great piece of literature. I was reminded of the Indian captive stories that I was obsessed with as a middle grade reader. As with those, I loved seeing an outsider learning about their ignorance and embracing another culture. This story has Asian influence, and I loved the juxtaposition of cultures.⠀",https://m.media-amazon.com/images/I/51gCu9vawaL._SY346_.jpg,10,100
